0,A MOVE to stop Mr. Gaitskell from
1,nominating any more Labour life Peers
2,is to be made at a meeting of Labour
3,M Ps tomorrow . Mr. Michael Foot has
4,put down a resolution on the subject
5,and he is to be backed by Mr. Will
6,"Griffiths , M P for Manchester Exchange ."
7,A MOVE to stop Mr. Gaitskell from nominating
8,any more Labour life Peers is to be made at a
9,meeting of Labour 0M Ps tomorrow . Mr. Michael
10,Foot has put down a resolution on the subject
11,"and he is to be backed by Mr. Will Griffiths ,"
12,0M P for Manchester Exchange .
13,"Though they may gather some Left-wing support , a"
14,large majority of Labour M Ps are likely to
15,turn down the Foot-Griffiths resolution . Mr.
16,Foot's line will be that as Labour M Ps
17,opposed the Government Bill which brought
18,"life peers into existence , they should not"
19,now put forward nominees . He believes
20,that the House of Lords should be abolished
21,and that Labour should not take any steps
22,"which would appear to "" prop up "" an out-dated"
23,institution .
24,Though they may gather some Left-wing
25,"support , a large majority of Labour"
26,M Ps are likely to turn down the Foot-
27,Griffiths resolution . Mr. Foot's line will
28,be that as Labour M Ps opposed the
29,Government Bill which brought life peers
30,"into existence , they should not now put"
31,forward nominees . He believes that the
32,House of Lords should be abolished and
33,that Labour should not take any steps
34,"which would appear to "" prop up "" an out-"
35,"Though they may gather some Left-wing support , a"
36,large majority of Labour 0M Ps are likely to turn
37,down the Foot-Griffiths resolution . Mr. Foot's line
38,will be that as Labour 0M Ps opposed the Govern-
39,"ment Bill which brought life peers into existence , they"
40,should not now put forward nominees . He believes
41,that the House of Lords should be abolished and
42,that Labour should not take any steps which would
43,"appear to "" prop up "" an out-dated institution ."
44,"Since 1958 , 13 Labour life Peers and"
45,Peeresses have been created . Most Labour
46,sentiment would # still favour the abolition
47,"of the House of Lords , but while it remains"
48,Labour has to have an adequate number of
49,members . THE two rival African Nationalist
50,Parties of Northern Rhodesia have agreed to
51,get together to face the challenge from Sir
52,"Roy Welensky , the Federal Premier ."
53,"Since 1958 , 13 Labour life Peers and"
54,Peeresses have been created . Most Labour
55,sentiment would still favour the abolition
56,"of the House of Lords , but while it remains"
57,Labour has to have an adequate number
58,of members . THE two rival African
59,Nationalist Parties of Northern Rhodesia
60,have agreed to get together to face
61,"the challenge from Sir Roy Welensky ,"
62,the Federal Premier .
63,"Since 1958 , 13 Labour life Peers and #"
